Title	Author	Published At	Source	URL
"THE SUBSTANCE NSFW Behind-The-Scenes Photo Features Margaret Qually as ""Monstro Eli-Sue"""	MarkCassidy	2024-10-22T23:19:31Z	CBM (Comic Book Movie)	https://comicbookmovie.com/horror/the-substance-nsfw-behind-the-scenes-photo-features-margaret-qually-as-monstro-eli-sue-a214104
Demi Moore Is Wildly Unrecognizable in Disturbing 'The Substance' Halloween Photos	Kayla Caldwell	2024-10-31T21:13:35Z	Newsweek	https://www.newsweek.com/entertainment/celebrity-news/demi-moore-unrecognizable-disturbing-substance-halloween-photos-1978255
After Kylie Jenner Stunningly Channeled Demi Morre's Iconic Striptease Poster, The Actress Responded	Sarah El-Mahmoud	2024-10-31T21:40:10Z	CinemaBlend	https://www.cinemablend.com/movies/kylie-jenner-channeled-demi-morres-iconic-striptease-poster-actress-responded
‘The Substance’ Is Now Available to Watch at Home!	John Squires	2024-10-31T18:26:54Z	Bloody Disgusting	https://bloody-disgusting.com/movie/3837992/the-substance-is-now-available-to-watch-at-home/
Smile Because It Happened	Joe Reid	2024-10-22T20:45:38Z	Vulture	http://www.vulture.com/article/smile-2-box-office-movies-league-newsletter.html
[Removed]		2024-10-28T04:01:00Z	[Removed]	https://removed.com
Post-Screening Movie Hype Tweets, Decoded	Nate Jones	2024-10-26T13:00:29Z	Vulture	http://www.vulture.com/article/gladiator-2-early-reviews-decoded.html
Are Demi Moore and Michelle Yeoh’s Bold Choices Changing the Rules for Actresses of a Certain Age?	Sharon Knolle	2024-10-16T13:00:00Z	TheWrap	https://www.thewrap.com/demi-moore-the-substance-michelle-yeoh-women-aging-in-hollywood/
‘The Substance’ Comes Home for Halloween; Here’s How to Watch It	John Squires	2024-10-24T13:14:00Z	Bloody Disgusting	https://bloody-disgusting.com/movie/3837010/the-substance-comes-home-for-halloween-heres-how-to-watch-it/
The State Of The Race – Pete Hammond’s Latest Predictions: “It’s Anybody’s Ballgame”	Pete Hammond	2024-11-14T22:53:46Z	Deadline	http://deadline.com/2024/11/pete-hammond-awards-predictions-oscars-bets-picture-actor-actress-news-1236173216/
How Naomi Scott Became 2024's Greatest Scream Queen in Smile 2	Evan Romano	2024-10-25T18:00:00Z	menshealth.com	https://www.menshealth.com/entertainment/a62705751/smile-2-interview-naomi-scott-skye-riley/
Fans are shocked that Demi Moore’s gory, messed-up horror film is in this Golden Globes category	Sean Mandell	2024-10-23T21:44:50Z	New York Post	https://nypost.com/2024/10/23/entertainment/demi-moores-horror-film-the-substance-submitted-as-comedy-for-golden-globes-shocking-fans/
Soccer Mommy Has Never Gotten This Real Before	Simon Vozick-Levinson	2024-11-01T17:30:00Z	Rolling Stone	http://www.rollingstone.com/music/music-features/soccer-mommy-new-album-evergreen-interview-1235140891/
Amy Adams turns into a dog in 'bizarre and brilliant' film		2024-10-16T17:50:21Z	BBC News	https://www.bbc.com/news/articles/c30l6510g73o
The best smeared make-up moments in arthouse cinema	Violet Piper	2024-11-06T11:46:00Z	Dazed	https://www.dazeddigital.com/beauty/article/65022/1/the-best-smeared-make-up-moments-in-arthouse-cinema?utm_source=Link&utm_medium=Link&utm_campaign=RSSFeed&utm_term=the-best-smeared-make-up-moments-in-arthouse-cinema
‘The Substance’ Ending Explained: What That Disgusting, Bloody Finale Means	mliss1578	2024-10-31T20:30:00Z	Decider	https://decider.com/2024/10/31/the-substance-ending-explained-meaning-demi-moore-margaret-qualley-feminist-analysis/
James Wan Recommends His 15 Favorite Vampire Movies	John Squires	2024-10-28T23:25:44Z	Bloody Disgusting	https://bloody-disgusting.com/movie/3837469/james-wan-recommends-his-15-favorite-vampire-movies/
Halloween Week: These 10 Horror Movies Are Releasing in the Final Week of October!	John Squires	2024-10-28T18:56:47Z	Bloody Disgusting	https://bloody-disgusting.com/movie/3837396/halloween-week-these-10-horror-movies-are-releasing-in-the-final-week-of-october/
Bloody Demi Moore looks disgusting in newly revealed ‘The Substance’ photos	Eric Todisco	2024-10-31T19:42:52Z	New York Post	https://nypost.com/2024/10/31/entertainment/bloody-demi-moore-looks-disgusting-in-new-substance-photos/
Demi Moore and Rob Lowe 'briefly had a thing'	Bethany Minelle	2024-10-25T10:26:00Z	Sky.com	https://news.sky.com/story/demi-moore-and-rob-lowe-briefly-had-a-thing-during-st-elmos-fire-13240938
Best Horror Movies to See in Theaters This Halloween	Kofi Outlaw	2024-10-30T19:49:32Z	ComicBook.com	http://comicbook.com/horror/news/best-horror-movies-halloween-2024-watch-in-theaters/
‘The Substance’ Comes to Digital, But When Will ‘The Substance’ Be Streaming?	mliss1578	2024-10-28T20:00:00Z	Decider	https://decider.com/2024/10/28/watch-the-substance-streaming-release-date-the-substance-mubi/
Netflix Announces ‘Fear Street 1988: Prom Queen’ for 2025 Release [Poster]	Meagan Navarro	2024-10-28T18:22:23Z	Bloody Disgusting	https://bloody-disgusting.com/movie/3837401/netflix-announces-fear-street-1988-prom-queen-for-2025-release/
Is 2024 the Best Year of Horror Movies Yet?	Patrick Cavanaugh	2024-10-23T19:03:45Z	ComicBook.com	http://comicbook.com/movies/news/best-horror-movies-2024-substance-quiet-place-day-one-terrifier/
New Horror Movies Streaming This Week for Halloween 2024	Cameron Bonomolo	2024-10-28T23:45:26Z	ComicBook.com	http://comicbook.com/horror/news/new-horror-movies-streaming-free-halloween-2024/
Stream It Or Skip It: ‘The Substance’ on Mubi and VOD, a New Body-Horror Classic Anchored by a Daring Demi Moore	mliss1578	2024-10-31T19:00:00Z	Decider	https://decider.com/2024/10/31/the-substance-mubi-streaming-movie-review/
‘Substance’ portrays in fiction whatexists in real world: French filmmaker Coralie Fargeat	The Hills Times	2024-10-31T02:45:00Z	Thehillstimes.in	https://thehillstimes.in/entertainment/substance-portrays-in-fiction-whatexists-in-real-world-french-filmmaker-coralie-fargeat
What to stream: Tyler, the Creator, 'The Substance,' Olivia Rodrigo concert film and 'The Diplomat'	The Associated Press	2024-10-28T04:06:34Z	ABC News	https://abcnews.go.com/Technology/wireStory/stream-tyler-creator-substance-olivia-rodrigo-concert-film-115207011
The failure of Joker: Folie à Deux is no laughing matter as the musical sequel comes off like a bad joke on PVOD	Steve Seigh	2024-11-06T19:51:12Z	JoBlo.com	https://www.joblo.com/joker-folie-a-deux-pvod/
The Substance, Joker: Folie à Deux, Netflix’s Time Cut, and every movie new to streaming this week	Toussaint Egan, Petrana Radulovic	2024-11-01T11:50:46Z	Polygon	https://www.polygon.com/entertainment/469923/new-movies-watch-streaming-the-substance-joker-2-netflix-time-cut
How to watch ‘The Substance’ for free just in time for Halloween	Angela Tricarico	2024-10-31T21:36:42Z	New York Post	https://nypost.com/2024/10/31/entertainment/how-to-watch-demi-moore-in-the-substance-for-free/
Demi Moore Opts for Timeless White and Black Capped-Toe Heels at ‘The Substance’ Premiere in Paris	Amina Ayoud	2024-11-06T20:34:05Z	Footwear News	http://footwearnews.com/fashion/celebrity-style/demi-moore-white-black-capped-toe-heels-the-substance-1234728404/
What to stream: Tyler, the Creator, 'The Substance,' Olivia Rodrigo concert film and 'The Diplomat'	The Associated Press	2024-10-28T04:14:25Z	ABC News	https://abcnews.go.com/Entertainment/wireStory/stream-tyler-creator-substance-olivia-rodrigo-concert-film-115207009
The movies are back — and so are disgusted audiences storming out of them	Sean Mandell	2024-10-24T12:46:08Z	New York Post	https://nypost.com/2024/10/24/entertainment/movies-are-back-and-disgusted-audiences-storming-out-too/
[Removed]		2024-10-22T20:28:40Z	[Removed]	https://removed.com
Drag Race UK star claps back at critics of her Substance Halloween costume: ‘What happened to fun?’	Charlie Duncan	2024-10-29T14:55:32Z	Thepinknews.com	https://www.thepinknews.com/2024/10/29/gay-halloween-sminty-drop-the-substance-monstro-elisasue/
[Removed]		2024-11-11T00:34:00Z	[Removed]	https://removed.com
Kylie Jenner goes nude channeling Demi Moore in ‘Striptease’ for Halloween — and Moore loves it: ‘Nailed it’	Sean Mandell	2024-10-31T23:53:58Z	New York Post	https://nypost.com/2024/10/31/entertainment/kylie-jenner-goes-naked-channeling-demi-moore-in-striptease-and-moore-loves-it/
What Is The Best Horror Movie Of 2024 So Far?	Josh Kurp	2024-10-17T13:45:25Z	UPROXX	https://uproxx.com/movies/best-horror-movie-of-2024-so-far-terrifier-substance-strange-darling/
Is ‘The Substance’ On Streaming Yet?	Josh Kurp	2024-10-24T15:51:34Z	UPROXX	https://uproxx.com/movies/the-substance-streaming-date/
Halloween 2024 week: Movies, shows to watch on Netflix, Disney+, MAX, Peacock	The Feed	2024-10-28T18:54:50Z	The Times of India	https://economictimes.indiatimes.com/news/international/us/halloween-2024-week-movies-shows-to-watch-on-netflix-disney-max-peacock/articleshow/114704353.cms
[Removed]		2024-11-11T18:24:00Z	[Removed]	https://removed.com
[Removed]		2024-11-08T13:18:03Z	[Removed]	https://removed.com
[Removed]		2024-11-10T16:28:12Z	[Removed]	https://removed.com
Demi Moore says close-up shot of her behind ‘bugs the s--- out of me’ in new movie	Caroline Thayer	2024-11-14T19:48:06Z	Fox News	https://www.foxnews.com/entertainment/demi-moore-says-close-up-shot-butt-bugs-s-t-out-new-movie
What’s Popular On Streaming Now	Kimberly Ricci	2024-11-03T13:00:30Z	UPROXX	https://uproxx.com/tv/popular-on-streaming-the-substance-lioness-diplomat/
Here Are the Top 10 Halloween Streamers for 2024	Ethan Alter, Saleah Blancaflor	2024-10-24T10:00:00Z	Adweek	https://www.adweek.com/convergent-tv/top-10-halloween-streamers/
Top Halloween films of 2024	Tatat Bunnag	2024-10-29T21:00:00Z	Bangkok Post	https://www.bangkokpost.com/life/arts-and-entertainment/2892753/top-halloween-films-of-2024
Amber Tamblyn: I Had Cosmetic Surgery at 12	Arden Dier	2024-10-22T18:24:00Z	Newser	https://www.newser.com/story/358204/amber-tamblyn-i-had-cosmetic-surgery-at-12.html
[Removed]		2024-10-25T12:00:41Z	[Removed]	https://removed.com
The real life substances: From vampire facials to snake venom serums, six anti-ageing treatments that give the body horror movie a run for its money	Sarah Caden	2024-10-23T01:30:00Z	Independent.ie	https://www.independent.ie/style/beauty/the-real-life-substances-from-vampire-facials-to-snake-venom-serums-six-anti-ageing-treatments-that-give-the-body-horror-movie-a-run-for-its-money/a110871543.html
Demi Moore's 'The Substance' Enters Golden Globes As Musical/Comedy	Scott Feinberg	2024-10-21T23:22:47Z	Hollywood Reporter	http://www.hollywoodreporter.com/movies/movie-news/golden-globes-demi-moore-the-substance-musical-comedy-exclusive-1236040702/
Demi Moore to Be Honored at French Cinematheque Ahead of Coralie Fargeat’s Buzzy ‘The Substance’s’ Local Premiere (EXCLUSIVE)	Elskes	2024-11-01T22:51:28Z	Variety	https://variety.com/2024/film/global/demi-moore-the-substance-mubi-french-cinematheque-1236198124/
Demi Moore on the U.S. Election: ‘America Is Built on Puritans, Religious Fanatics and Criminals’	Becroll	2024-11-06T02:33:22Z	Variety	https://variety.com/2024/film/global/demi-moore-the-substance-coralie-fargeat-2024-election-1236201891/
Tax Incentives Aren’t The Only Reason Why ‘The Substance,’ ‘Emilia Pérez’ and ‘The Count of Monte Cristo’ Shot in France	Elskes	2024-11-04T11:32:34Z	Variety	https://variety.com/2024/film/global/the-substance-emilia-perez-the-count-of-monte-cristo-france-tax-incentives-1236199147/
New Boutique Distributors Step Up to Meet the Needs of the Independent Film Market	Carolehorst	2024-11-07T17:17:00Z	Variety	https://variety.com/2024/film/news/distributors-independent-film-market-1236200344/
Golden Globes 2025: Top Dramas or Musical/Comedies Contenders	Scott Feinberg	2024-10-17T17:37:44Z	Hollywood Reporter	http://www.hollywoodreporter.com/movies/movie-news/golden-globes-2025-dramas-musical-comedies-contenders-1236032571/
‘He took the substance’: Why Demi Moore’s Comeback Horror Flick Feels Uniquely Primed for the Internet	BenWeiss, BenWeiss	2024-10-25T18:00:00Z	Cheezburger.com	https://cheezburger.com/30227207/he-took-the-substance-why-demi-moores-comeback-horror-flick-feels-uniquely-primed-for-the-internet
How To Watch The Substance At Home	staff@slashfilm.com (Jeremy Mathai)	2024-10-24T14:57:03Z	/FILM	https://www.slashfilm.com/1696546/how-watch-the-substance-at-home/
‘The Substance’ Is Now Streaming: Where to Watch the Gory Thriller for Free	Jonathan Zavaleta	2024-10-31T19:18:09Z	Rolling Stone	http://www.rollingstone.com/product-recommendations/lifestyle/the-substance-demi-moore-streaming-1235149084/
‘The Substance’ Gets Streaming Release: Here’s How to Watch the Demi Moore Body-Horror Film Online	Atingley4	2024-11-04T19:35:34Z	Variety	https://variety.com/2024/film/news/how-to-watch-the-substance-online-streaming-1236199912/
Katy Perry Named This Grotesque Horror Flick The Best Movie Of 2024	staff@slashfilm.com (Jeremy Smith)	2024-11-11T23:43:20Z	/FILM	https://www.slashfilm.com/1710704/katy-perry-best-movie-2024-horror-the-substance/
Scary Movies for Spooky Season	The New Yorker	2024-10-18T10:00:00Z	The New Yorker	https://www.newyorker.com/culture/goings-on/scary-movies-for-spooky-season
A New Take on The Fly Is Coming From a Very Intriguing Director	Cheryl Eddy	2024-11-04T19:10:18Z	Gizmodo.com	https://gizmodo.com/a-new-take-on-the-fly-is-coming-from-a-very-intriguing-director-2000520281
Rob Lowe Says Whole ‘St. Elmo’s Fire’ Cast Will Return for Sequel, Which Is Not ‘Just a Money Run’	Samantha Bergeson	2024-10-23T19:30:00Z	IndieWire	https://www.indiewire.com/news/general-news/rob-lowe-st-elmos-fire-cast-sequel-1235059387/
Demi Moore's Body Horror Thriller ‘The Substance’ Gets Streaming Date	"Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/"	2024-10-24T16:02:06Z	Forbes	https://www.forbes.com/sites/timlammers/2024/10/24/demi-moores-body-horror-thriller-the-substance-gets-streaming-date/
Demi Moore Shares Bone-Chilling Look at The Substance Transformation		2024-10-31T21:05:00Z	Eonline.com	https://www.eonline.com/news/1409386/demi-moore-shares-bone-chilling-look-at-transformation-for-her-horror-film
Guillermo Del Toro Praises Demi Moore’s Body Horror Hit ‘The Substance’	"Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/"	2024-11-04T01:57:02Z	Forbes	https://www.forbes.com/sites/timlammers/2024/11/03/guillermo-del-toro-praises-demi-moores-body-horror-hit-the-substance/
Demi Moore’s Horror Thriller ‘The Substance’ New On Streaming This Week	"Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/"	2024-10-28T01:24:20Z	Forbes	https://www.forbes.com/sites/timlammers/2024/10/27/demi-moores-horror-thriller-the-substance-new-on-streaming-this-week/
Demi Moore’s ‘The Substance’ Makeup Photos Show Scary Side Of Character	"Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/"	2024-11-01T23:54:07Z	Forbes	https://www.forbes.com/sites/timlammers/2024/11/01/demi-moores-the-substance-makeup-photos-show-scary-side-of-character/
The 25 best new horror movies of 2024 (so far)	Caralynn Matassa	2024-11-01T15:32:56Z	Business Insider	https://www.businessinsider.com/best-new-horror-movies-2024
This Disgusting Demi Moore Movie Just Became A New Horror Classic	Evan E. Lambert	2024-10-21T16:00:46Z	Thoughtcatalog.com	https://thoughtcatalog.com/evan-lambert/2024/10/this-disgusting-demi-moore-movie-just-became-a-new-horror-classic/
Decision Room 2024: Team Moo Deng or Team Haggis?	Matt Novak	2024-11-04T21:30:07Z	Gizmodo.com	https://gizmodo.com/decision-room-2024-team-moo-deng-or-team-haggis-2000520331
Looks Like European Film Voters Love ‘No Other Land’ but Are Mixed on ‘Hard Truths’	Marcus Jones	2024-11-05T19:15:00Z	IndieWire	https://www.indiewire.com/awards/industry/european-film-awards-bifa-nominations-reveal-oscar-favorites-1235063138/
Smile 2 Star Naomi Scott Got Her Start In The Best Disney Channel Original Movie You've Never Seen	staff@slashfilm.com (BJ Colangelo)	2024-10-18T12:00:00Z	/FILM	https://www.slashfilm.com/1690672/naomi-scott-smile-2-star-best-disney-channel-original-movie-lemonade-mouth/
Movies Watched, September 2024	Khoi	2024-10-21T00:50:12Z	Subtraction.com	https://www.subtraction.com/2024/10/20/movies-watched-september-2024/
European Film Awards: ‘The Substance’, ‘Emilia Pérez’ & ‘The Girl With The Needle’ Lead Arts & Craft Prizes	Melanie Goodfellow	2024-11-13T10:50:39Z	Deadline	http://deadline.com/2024/11/european-film-awards-arts-crafts-2024-winners-1236175097/
Let Demi Moore’s Iconic Fashion Give You More Inspiration		2024-11-11T19:06:47Z	Eonline.com	https://www.eonline.com/news/1409808/let-demi-moores-iconic-fashion-give-you-more-inspiration
Where to stream The Substance in Canada	Bradly Shankar	2024-10-26T18:31:37Z	MobileSyrup	https://mobilesyrup.com/2024/10/26/where-to-stream-the-substance-canada/
24 Best Movies New to Streaming in November: ‘Deadpool & Wolverine,’ ‘Twisters,’ ‘The Substance,’ ‘Emilia Perez’ and More	Zack Sharf	2024-11-01T21:20:00Z	Variety	https://variety.com/lists/best-movies-streaming-november-2024/
Fall's Buzziest New Thriller 'The Substance' Is Already Available To Stream	Chloe Williams​	2024-10-31T15:18:38Z	Brit + Co	https://www.brit.co/the-substance-movie/
The Substance: Streaming Release Date Revealed For Horror Movie With 91% RT Score (And It's Soon)	Brennan Klein	2024-10-24T13:17:07Z	Screen Rant	https://screenrant.com/the-substance-movie-streaming-release-date-confirmed-mubi/
Halloween-Costume Ideas for the Pop-Culture Super Fan	Mia Mercado	2024-10-17T15:00:16Z	The Cut	http://www.thecut.com/article/2024-halloween-costume-ideas-pop-culture-moo-deng.html
The Substance is the best body horror of 2024 and it's finally got a streaming date on Mubi	lucy.buglass@futurenet.com (Lucy Buglass)	2024-10-25T09:18:32Z	TechRadar	https://www.techradar.com/streaming/the-substance-is-the-best-body-horror-of-2024-and-its-finally-got-a-streaming-date-on-mubi
Demi Moore Goes Pretty in Florals for 'The Substance' Premiere in Paris	Just Jared	2024-11-06T02:17:41Z	Just Jared	https://www.justjared.com/2024/11/05/demi-moore-goes-pretty-in-florals-for-the-substance-premiere-in-paris/
Gotham Nominations Add New Contenders Like ‘Babygirl’ to the Awards Race	Anne Thompson	2024-10-29T18:32:36Z	IndieWire	https://www.indiewire.com/awards/predictions/gotham-nominations-add-new-contenders-awards-race-1235060932/
Kylie Jenner Goes Totally Nude for Striptease Halloween Costume		2024-11-01T03:49:30Z	Eonline.com	https://www.eonline.com/news/1409400/kylie-jenner-goes-totally-nude-for-halloween-dressed-as-stripteases-demi-moore
Older Demos, Still Elusive, Bless ‘Conclave’ Amid Indie Surge – Specialty Box Office	jillg366	2024-10-27T19:31:05Z	Deadline	http://deadline.com/2024/10/conclave-older-moviegoers-theaters-indie-film-box-office-1236159448/
Demi Moore on 'The Substance' Mania, “Scary” Oscar Buzz, and Keeping That Yellow Coat	David Canfield	2024-11-12T14:35:17Z	Vanity Fair	https://www.vanityfair.com/hollywood/demi-moore-the-substance-little-gold-men-awards-insider
After The Substance's Release, Demi Moore Got Real About Aging And How The Film 'Pushed' Her Out Of Her Comfort Zone	Ryan LaBee	2024-11-10T22:18:25Z	CinemaBlend	https://www.cinemablend.com/movies/after-the-substance-release-demi-moore-real-about-aging-film-pushed-her-out-of-comfort-zone
Here Comes the Sun: Demi Moore and more	CBS News	2024-11-03T08:31:01Z	CBS News	https://www.cbsnews.com/video/here-comes-the-sun-demi-moore-and-more/
Rob Lowe Confirms Brief Romance With Demi Moore in the ’80s, Talks About Their Relationship Now	Just Jared	2024-10-24T02:30:53Z	Just Jared	https://www.justjared.com/2024/10/23/rob-lowe-confirms-brief-romance-with-demi-moore-in-the-80s-talks-about-their-relationship-now/
THE SUBSTANCE Star Demi Moore Shares NSFW Elizabeth Sparkle Transformation Photos - SPOILERS	MarkCassidy	2024-11-02T13:20:17Z	CBM (Comic Book Movie)	https://comicbookmovie.com/horror/the-substance-star-demi-moore-shares-nsfw-elizabeth-sparkle-transformation-photos---spoilers-a214259
5 cult body horror films to watch after The Substance	James Greig	2024-10-23T10:24:00Z	Dazed	https://www.dazeddigital.com/film-tv/article/64918/1/5-cult-body-horrors-to-watch-halloween-the-substance-the-fly-titane-videodrome?utm_source=Link&utm_medium=Link&utm_campaign=RSSFeed&utm_term=5-cult-body-horror-films-to-watch-after-the-substance
10 Best Horror Movies Released This Year (Ranked)	Haiden Lovely	2024-10-24T11:53:43Z	The Escapist	https://www.escapistmagazine.com/best-horror-movies-released-this-year/
Demi Moore on the Cover of Elle	ivn	2024-11-15T07:49:47Z	Livejournal.com	https://ohnotheydidnt.livejournal.com/129557248.html
Demi Moore in Chanel Couture at THE SUBSTANCE Paris Premiere: IN or OUT?	Lorenzo Marquez	2024-11-07T19:00:49Z	tomandlorenzo.com	https://tomandlorenzo.com/2024/11/demi-moore-in-chanel-couture-at-the-substance-paris-premiere-in-or-out/
Today’s NYT ‘Connections’ Hints And Answers For Monday, November 11	"Kris Holt, Contributor, 
 Kris Holt, Contributor
 https://www.forbes.com/sites/krisholt/"	2024-11-10T22:30:00Z	Forbes	https://www.forbes.com/sites/krisholt/2024/11/10/nyt-connections-today-help-clues-hints-answers-monday-november-11-519/
Demi Moore Talks Timeliness of ‘The Substance’: ‘There’s a Lot of Fear in America Around the Body’	Harrison Richlin	2024-11-09T20:30:00Z	IndieWire	https://www.indiewire.com/news/general-news/demi-moore-talks-timeliness-the-substance-1235064084/
Jesse Eisenberg, Kieran Culkin Drive ‘A Real Pain’ To Top 3 Limited Opening As Audiences Dig Diverse Indie Slate – Specialty Box Office	jillg366	2024-11-03T19:19:51Z	Deadline	http://deadline.com/2024/11/indie-film-box-office-a-real-pain-anora-conclave-1236165664/
Nikyatu Jusu Developing Film In Universe Of David Cronenberg’s ‘The Fly’ For 20th Century Studios	matthewgrobar	2024-11-04T18:03:36Z	Deadline	http://deadline.com/2024/11/the-fly-movie-nikyatu-jusu-in-works-20th-century-studios-1236166549/
The Substance: Demi Moore body horror film reaches MUBI streaming service on Halloween	Cody Hamman	2024-10-24T14:02:26Z	JoBlo.com	https://www.joblo.com/the-substance-mubi-2/
Demi Moore's 'Cankle Crisis': 'The Substance' Star, 61, 'Focusing on Every Little Imperfection' — And Is 'Convinced Ankles are Flabby'	Lauren McIver	2024-11-08T21:25:06Z	Radaronline.com	https://radaronline.com/p/demi-moore-cankles-star-focusing-imperfection-convinced-ankles-flabby/
[Removed]		2024-10-28T04:01:00Z	[Removed]	https://removed.com
After Kylie Jenner Stunningly Channeled Demi Morre's Iconic Striptease Poster, The Actress Responded	Sarah El-Mahmoud	2024-10-31T21:40:10Z	CinemaBlend	https://www.cinemablend.com/movies/kylie-jenner-channeled-demi-morres-iconic-striptease-poster-actress-responded
OMG, WATCH: Demi Moore talks about her career from ‘Ghost’ to ‘The Substance’	Igor	2024-11-07T19:46:36Z	Omg.blog	https://omg.blog/demi-moore-talks-about-her-career-from-ghost-to-the-substance/
The 13 Best Movies and TV Shows to Watch This Weekend	Savannah Salazar	2024-11-01T16:37:00Z	Vulture	http://www.vulture.com/article/what-to-watch-this-weekend-best-movies-tv-shows-november-1-3.html
Oscar-Worthy 2024 Horror Performances: Hugh Grant, Margaret Qualley and More	Jenelleriley2	2024-10-31T16:33:30Z	Variety	https://variety.com/2024/awards/actors/oscar-worthy-2024-horror-performances-1236195685/
Review: I Finally Watched THE SUBSTANCE and Holy F#!king Sh!t...	Joey Paur	2024-10-18T22:30:00Z	GeekTyrant	https://geektyrant.com/news/review-i-finally-watched-the-substance-and-holy-fking-sht
‘The Substance’ Comes Home for Halloween; Here’s How to Watch It	John Squires	2024-10-24T13:14:00Z	Bloody Disgusting	https://bloody-disgusting.com/movie/3837010/the-substance-comes-home-for-halloween-heres-how-to-watch-it/
[Removed]		2024-11-12T11:00:02Z	[Removed]	https://removed.com
Demi Moore Is Wildly Unrecognizable in Disturbing 'The Substance' Halloween Photos	Kayla Caldwell	2024-10-31T21:13:35Z	Newsweek	https://www.newsweek.com/entertainment/celebrity-news/demi-moore-unrecognizable-disturbing-substance-halloween-photos-1978255
‘It’s The Devil’: The Substance Director Discusses The Long Casting Process For That Creepy, Deep Voice In The Body Horror Movie	Eric Eisenberg	2024-10-31T13:32:53Z	CinemaBlend	https://www.cinemablend.com/interviews/its-the-devil-the-substance-director-discusses-long-casting-process-creepy-deep-voice-body-horror-movie
"THE SUBSTANCE NSFW Behind-The-Scenes Photo Features Margaret Qualley as ""Monstro Eli-Sue"""	MarkCassidy	2024-10-22T23:36:04Z	CBM (Comic Book Movie)	https://comicbookmovie.com/horror/the-substance-nsfw-behind-the-scenes-photo-features-margaret-qualley-as-monstro-eli-sue-a214104
"THE SUBSTANCE NSFW Behind-The-Scenes Photo Features Margaret Qually as ""Monstro Eli-Sue"""	MarkCassidy	2024-10-22T23:19:31Z	CBM (Comic Book Movie)	https://comicbookmovie.com/horror/the-substance-nsfw-behind-the-scenes-photo-features-margaret-qually-as-monstro-eli-sue-a214104
Are Hallmark's actors too old? Fans fire back after exec allegedly says not to cast 'old people'		2024-10-28T17:38:11Z	CBC News	https://www.cbc.ca/news/entertainment/hallmark-lawsuit-1.7365416
The Substance Might Not Be For Everyone, But I Want To Talk About The Visceral Self Love Message That's Still Giving Me Chills	Sarah El-Mahmoud	2024-10-26T15:04:00Z	CinemaBlend	https://www.cinemablend.com/movies/the-substance-might-not-be-for-everyone-but-i-want-to-talk-about-visceral-self-love-message-still-giving-me-chills
Demi Moore, Denis Villeneuve, Malcolm Washington, and Jason Reitman Set for SFFILM Honors	Ryan Lattanzio	2024-11-14T13:00:00Z	IndieWire	https://www.indiewire.com/news/general-news/demi-moore-denis-villeneuve-more-set-sffilm-awards-1235065339/
“Substance” Aims For Best Comedy Awards	Garth Franklin	2024-10-21T23:43:11Z	Dark Horizons	https://www.darkhorizons.com/substance-aims-for-best-comedy-awards/
‘Smile 2’ Review: An Intense Naomi Scott Takes On Sequel To 2022 Horror Hit That Just Feels Like More Of The Same	Pete Hammond	2024-10-16T13:00:00Z	Deadline	http://deadline.com/2024/10/smile-2-review-intense-naomi-scott-sequel-2022-horror-hit-1236117263/
‘The Substance’ Is Now Available to Watch at Home!	John Squires	2024-10-31T18:26:54Z	Bloody Disgusting	https://bloody-disgusting.com/movie/3837992/the-substance-is-now-available-to-watch-at-home/
‘Your Monster’ Review: Melissa Barrera Finds Musical Ways To Scream Her Rage With Help From A Beastly Tommy Dewey	Pete Hammond	2024-10-25T19:37:36Z	Deadline	http://deadline.com/2024/10/your-monster-review-melissa-barrera-finds-musical-ways-to-scream-with-help-from-beastly-tommy-dewey-1236158700/
Why don’t we have any sympathy for beauty addicts?	Brynn Valentine	2024-10-23T14:12:00Z	Dazed	https://www.dazeddigital.com/beauty/article/64906/1/no-sympathy-for-the-beauty-addict?utm_source=Link&utm_medium=Link&utm_campaign=RSSFeed&utm_term=why-don-t-we-have-any-sympathy-for-beauty-addicts
Demi Moore Addresses Baring it All in 'The Substance,' Body Image & Struggling With Eating Disorder When She Was Younger	Just Jared	2024-11-14T16:50:14Z	Just Jared	https://www.justjared.com/2024/11/14/demi-moore-addresses-baring-it-all-in-the-substance-body-image-struggling-with-eating-disorder-when-she-was-younger/
Are Demi Moore and Michelle Yeoh’s Bold Choices Changing the Rules for Actresses of a Certain Age?	Sharon Knolle	2024-10-16T13:00:00Z	TheWrap	https://www.thewrap.com/demi-moore-the-substance-michelle-yeoh-women-aging-in-hollywood/
I chatted to an MIT-built AI version of my future, 60-year-old self and we did NOT get along	jessica.kinghorn@futurenet.com (Jess Kinghorn)	2024-11-07T11:35:54Z	PC Gamer	https://www.pcgamer.com/hardware/it-is-on-sight-with-this-ai-chatbot/
